n,target,protocol,model,feature_set,ridge_mae_reference,mlp_mae_mean,mlp_mae_std,mlp_mae_se,delta_mae,delta_mae_over_ridge,improvement_percent,seed_stable,num_seeds,num_converged_folds,num_total_folds
1.2,E0,LOAO,ridge,physics_informed,0.00023140656947526444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.2,E0,LOAO,mlp,raw,0.00023140656947526444,0.00019830609063130772,3.150235690502434e-05,9.961919948340955e-06,3.310047884395672e-05,0.14304035930792752,14.304035930792752,True,10,50,50
1.2,E0,LOAO,mlp,physics_informed,0.00023140656947526444,0.00017020238740575724,5.873722023675448e-05,1.8574339937507873e-05,6.120418206950721e-05,0.26448766000158636,26.448766000158635,True,10,50,50
1.2,E0,LOARO,ridge,physics_informed,0.0002697198654715167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.2,E0,LOARO,mlp,raw,0.0002697198654715167,0.00010524225060646638,1.1536321973860538e-05,3.648105325844876e-06,0.00016447761486505032,0.6098090497617414,60.980904976174145,True,10,70,70
1.2,E0,LOARO,mlp,physics_informed,0.0002697198654715167,8.202077476843556e-05,5.078356756023606e-06,1.605917411993861e-06,0.00018769909070308113,0.6959038422140351,69.59038422140351,True,10,70,70
1.2,dE1,LOAO,ridge,physics_informed,0.00013115473979540346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.2,dE1,LOAO,mlp,raw,0.00013115473979540346,0.00033610409129213915,0.00010221172568592468,3.232218567438581e-05,-0.0002049493514967357,-1.5626530296689933,-156.26530296689933,False,10,50,50
1.2,dE1,LOAO,mlp,physics_informed,0.00013115473979540346,0.00028256360298016704,5.2909657167367586e-05,1.673150268675343e-05,-0.0001514088631847636,-1.1544292140791543,-115.44292140791543,False,10,50,50
1.2,dE1,LOARO,ridge,physics_informed,0.00013591922919098913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.2,dE1,LOARO,mlp,raw,0.00013591922919098913,0.00016526310534540158,1.65422306733925e-05,5.231112650782122e-06,-2.9343876154412456e-05,-0.2158920141695288,-21.58920141695288,False,10,70,70
1.2,dE1,LOARO,mlp,physics_informed,0.00013591922919098913,0.0001429641579416265,1.3174872348969463e-05,4.166260450471623e-06,-7.044928750637373e-06,-0.05183172971602183,-5.1831729716021835,False,10,70,70
2.0,E0,LOAO,ridge,physics_informed,0.00017903089767750758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,E0,LOAO,mlp,raw,0.00017903089767750758,0.00015895858196289582,3.0641238944365305e-05,9.689610539364774e-06,2.0072315714611755e-05,0.11211648924851214,11.211648924851215,True,10,50,50
2.0,E0,LOAO,mlp,physics_informed,0.00017903089767750758,0.00012786804033032846,2.8387000717693528e-05,8.976757820874599e-06,5.116285734717911e-05,0.2857766900065481,28.577669000654808,True,10,50,50
2.0,E0,LOARO,ridge,physics_informed,0.00021726278113650213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,E0,LOARO,mlp,raw,0.00021726278113650213,6.0680542900101646e-05,7.626746382217401e-06,2.4117889704256094e-06,0.0001565822382364005,0.7207043811982818,72.07043811982818,True,10,70,70
2.0,E0,LOARO,mlp,physics_informed,0.00021726278113650213,4.241567071703502e-05,2.0241060299096422e-06,6.400785280195371e-07,0.0001748471104194671,0.8047724948785128,80.47724948785128,True,10,70,70
2.0,dE1,LOAO,ridge,physics_informed,9.344331218264335e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,dE1,LOAO,mlp,raw,9.344331218264335e-05,0.0003881658495632189,8.988160433724388e-05,2.842305894557596e-05,-0.00029472253738057556,-3.1540249429998144,-315.4024942999814,False,10,50,50
2.0,dE1,LOAO,mlp,physics_informed,9.344331218264335e-05,0.00024097608200105282,5.21983625308831e-05,1.650657157287818e-05,-0.00014753276981840945,-1.578847820912463,-157.8847820912463,False,10,50,50
2.0,dE1,LOARO,ridge,physics_informed,8.376424098286877e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,dE1,LOARO,mlp,raw,8.376424098286877e-05,6.338809893662384e-05,7.777999988703105e-06,2.4596195605065735e-06,2.0376142046244934e-05,0.24325585485114354,24.325585485114352,True,10,70,70
2.0,dE1,LOARO,mlp,physics_informed,8.376424098286877e-05,5.202990144263853e-05,5.252908943407987e-06,1.6611156602637761e-06,3.173433954023024e-05,0.37885306627108883,37.88530662710888,True,10,70,70
3.0,E0,LOAO,ridge,physics_informed,0.0001619107121425069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,E0,LOAO,mlp,raw,0.0001619107121425069,0.00012519645873994582,2.7061578556380668e-05,8.557622531773425e-06,3.671425340256109e-05,0.22675617268761541,22.675617268761542,True,10,50,50
3.0,E0,LOAO,mlp,physics_informed,0.0001619107121425069,0.0001110718789727968,2.9263290350738756e-05,9.253864933916206e-06,5.083883316971011e-05,0.31399301810842467,31.399301810842466,True,10,50,50
3.0,E0,LOARO,ridge,physics_informed,0.00019390608761901923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,E0,LOARO,mlp,raw,0.00019390608761901923,7.801177027525568e-05,6.534457605287202e-06,2.066376930651708e-06,0.00011589431734376354,0.5976827172722352,59.76827172722352,True,10,70,70
3.0,E0,LOARO,mlp,physics_informed,0.00019390608761901923,6.407355900207356e-05,3.860236244121405e-06,1.2207138837757408e-06,0.00012983252861694565,0.6695639637267946,66.95639637267946,True,10,70,70
3.0,dE1,LOAO,ridge,physics_informed,9.037091662685003e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,dE1,LOAO,mlp,raw,9.037091662685003e-05,0.0002814173602952273,4.26824965118363e-05,1.349739051995947e-05,-0.00019104644366837726,-2.1140257374750986,-211.40257374750985,False,10,50,50
3.0,dE1,LOAO,mlp,physics_informed,9.037091662685003e-05,0.0003039838140982051,0.0001417213304414215,4.4816219722424804e-05,-0.00021361289747135506,-2.363734987367481,-236.3734987367481,False,10,50,50
3.0,dE1,LOARO,ridge,physics_informed,9.085816192982835e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,dE1,LOARO,mlp,raw,9.085816192982835e-05,5.4446797304571486e-05,7.610298332902091e-06,2.406587640535294e-06,3.641136462525687e-05,0.4007495182807916,40.07495182807916,True,10,70,70
3.0,dE1,LOARO,mlp,physics_informed,9.085816192982835e-05,4.6236867258364396e-05,2.7712632333058267e-06,8.763503813129006e-07,4.462129467146396e-05,0.4911093700742693,49.110937007426934,True,10,70,70
4.0,E0,LOAO,ridge,physics_informed,0.00015384268608485487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,E0,LOAO,mlp,raw,0.00015384268608485487,0.0001436758865919861,3.0255305974949225e-05,9.567567818614082e-06,1.0166799492868783e-05,0.06608568630465209,6.608568630465209,False,10,50,50
4.0,E0,LOAO,mlp,physics_informed,0.00015384268608485487,0.00015085459092513355,2.879818314140355e-05,9.106785120149809e-06,2.9880951597213224e-06,0.019423056342588698,1.9423056342588698,False,10,50,50
4.0,E0,LOARO,ridge,physics_informed,0.0001785440581652864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,E0,LOARO,mlp,raw,0.0001785440581652864,9.130669682880821e-05,8.541460448486512e-06,2.701046956146068e-06,8.72373613364782e-05,0.4886041139253068,48.86041139253068,True,10,70,70
4.0,E0,LOARO,mlp,physics_informed,0.0001785440581652864,8.99864531977939e-05,5.459718526210341e-06,1.7265145926242388e-06,8.855760496749251e-05,0.4959986116452595,49.59986116452595,True,10,70,70
4.0,dE1,LOAO,ridge,physics_informed,9.880990020746484e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,dE1,LOAO,mlp,raw,9.880990020746484e-05,0.0002529929865711971,5.5094898035954605e-05,1.7422536524835397e-05,-0.00015418308636373226,-1.5604011950219956,-156.04011950219956,False,10,50,50
4.0,dE1,LOAO,mlp,physics_informed,9.880990020746484e-05,0.00030004087708269077,0.000133982401315779,4.236895545366024e-05,-0.00020123097687522594,-2.036546706885789,-203.6546706885789,False,10,50,50
4.0,dE1,LOARO,ridge,physics_informed,0.0001041253486557378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,dE1,LOARO,mlp,raw,0.0001041253486557378,6.760606217252938e-05,7.0604239405418235e-06,2.2327020898493404e-06,3.651928648320842e-05,0.35072426603774964,35.072426603774964,True,10,70,70
4.0,dE1,LOARO,mlp,physics_informed,0.0001041253486557378,6.706305389542345e-05,8.12189948641463e-06,2.5683701304022014e-06,3.706229476031435e-05,0.3559392140222336,35.59392140222336,True,10,70,70
