target,protocol,n,variable,variable_type,spearman_rho,abs_spearman_rho,p_value,num_points
E0,LOAO,1.2,edge_area_error_abs,discretization,-0.0434204076980481,0.0434204076980481,0.8043927285907353,35
E0,LOAO,1.2,imbalance_ratio,discretization,-0.415686274509804,0.415686274509804,0.013011328456051107,35
E0,LOAO,1.2,a,smooth,0.03600720216072026,0.03600720216072026,0.8372974859019185,35
E0,LOAO,1.2,aspect_ratio,smooth,-0.12306119462710094,0.12306119462710094,0.4812563026931423,35
E0,LOAO,2.0,edge_area_error_abs,discretization,0.1008403361344538,0.1008403361344538,0.5643544528765544,35
E0,LOAO,2.0,imbalance_ratio,discretization,-0.0773109243697479,0.0773109243697479,0.6589027455148089,35
E0,LOAO,2.0,a,smooth,0.006001200360120042,0.006001200360120042,0.9727061534598898,35
E0,LOAO,2.0,aspect_ratio,smooth,-0.18105555071573473,0.18105555071573473,0.2979350576307786,35
E0,LOAO,3.0,edge_area_error_abs,discretization,-0.01568627450980392,0.01568627450980392,0.928735153432314,35
E0,LOAO,3.0,imbalance_ratio,discretization,0.12605042016806722,0.12605042016806722,0.4705851762597329,35
E0,LOAO,3.0,a,smooth,-0.05601120336112039,0.05601120336112039,0.7492841614074944,35
E0,LOAO,3.0,aspect_ratio,smooth,-0.10750173323746749,0.10750173323746749,0.5387681180845816,35
E0,LOAO,4.0,edge_area_error_abs,discretization,-0.1677871148459384,0.1677871148459384,0.3353241631059893,35
E0,LOAO,4.0,imbalance_ratio,discretization,0.2296918767507003,0.2296918767507003,0.18439207311012376,35
E0,LOAO,4.0,a,smooth,-0.1740348104434812,0.1740348104434812,0.3173742394092763,35
E0,LOAO,4.0,aspect_ratio,smooth,-0.06789583151840052,0.06789583151840052,0.6983586598313358,35
E0,LOARO,1.2,edge_area_error_abs,discretization,0.06611107236606034,0.06611107236606034,0.705930411004333,35
E0,LOARO,1.2,imbalance_ratio,discretization,-0.49243697478991594,0.49243697478991594,0.002655397304152577,35
E0,LOARO,1.2,a,smooth,-0.058011603481160405,0.058011603481160405,0.7406323505229655,35
E0,LOARO,1.2,aspect_ratio,smooth,-0.04102039820903365,0.04102039820903365,0.8150123044775154,35
E0,LOARO,2.0,edge_area_error_abs,discretization,-0.0005602240896358543,0.0005602240896358543,0.997451594697741,35
E0,LOARO,2.0,imbalance_ratio,discretization,0.09159663865546218,0.09159663865546218,0.600754906697184,35
E0,LOARO,2.0,a,smooth,-0.11802360708236083,0.11802360708236083,0.4995201123118575,35
E0,LOARO,2.0,aspect_ratio,smooth,-0.08345529290803397,0.08345529290803397,0.6336254487374802,35
E0,LOARO,3.0,edge_area_error_abs,discretization,0.031092436974789917,0.031092436974789917,0.8592667659168378,35
E0,LOARO,3.0,imbalance_ratio,discretization,0.27815126050420175,0.27815126050420175,0.10568146696286124,35
E0,LOARO,3.0,a,smooth,-0.12202440732244085,0.12202440732244085,0.48498660420563633,35
E0,LOARO,3.0,aspect_ratio,smooth,0.05516536310870043,0.05516536310870043,0.7529515952076113,35
E0,LOARO,4.0,edge_area_error_abs,discretization,-0.13445378151260504,0.13445378151260504,0.4412657572206975,35
E0,LOARO,4.0,imbalance_ratio,discretization,0.03893557422969188,0.03893557422969188,0.824263699634506,35
E0,LOARO,4.0,a,smooth,-0.19603921176392136,0.19603921176392136,0.25904226176743306,35
E0,LOARO,4.0,aspect_ratio,smooth,0.11033072621740087,0.11033072621740087,0.5280725447166449,35
dE1,LOAO,1.2,edge_area_error_abs,discretization,0.38994327429472875,0.38994327429472875,0.020576271314500367,35
dE1,LOAO,1.2,imbalance_ratio,discretization,-0.09859943977591037,0.09859943977591037,0.5730852335581901,35
dE1,LOAO,1.2,a,smooth,-0.07001400420140048,0.07001400420140048,0.689409481533387,35
dE1,LOAO,1.2,aspect_ratio,smooth,-0.19095702614550147,0.19095702614550147,0.27183844025009807,35
dE1,LOAO,2.0,edge_area_error_abs,discretization,0.15182072829131654,0.15182072829131654,0.38395814031876757,35
dE1,LOAO,2.0,imbalance_ratio,discretization,-0.12464985994397759,0.12464985994397759,0.4755694061637999,35
dE1,LOAO,2.0,a,smooth,-0.19003801140380133,0.19003801140380133,0.2741956784474707,35
dE1,LOAO,2.0,aspect_ratio,smooth,0.38191405229100295,0.38191405229100295,0.023576327679582024,35
dE1,LOAO,3.0,edge_area_error_abs,discretization,0.28179271708683473,0.28179271708683473,0.10100716042119438,35
dE1,LOAO,3.0,imbalance_ratio,discretization,0.2941176470588236,0.2941176470588236,0.0863460186081876,35
dE1,LOAO,3.0,a,smooth,-0.16203240972324112,0.16203240972324112,0.35239776315198135,35
dE1,LOAO,3.0,aspect_ratio,smooth,0.5375086661873375,0.5375086661873375,0.0008691258433102936,35
dE1,LOAO,4.0,edge_area_error_abs,discretization,0.06722689075630252,0.06722689075630252,0.7011933007233333,35
dE1,LOAO,4.0,imbalance_ratio,discretization,-0.03305322128851541,0.03305322128851541,0.8504885338854253,35
dE1,LOAO,4.0,a,smooth,-0.1740348104434812,0.1740348104434812,0.3173742394092763,35
dE1,LOAO,4.0,aspect_ratio,smooth,0.49224477850840376,0.49224477850840376,0.002667227071478774,35
dE1,LOARO,1.2,edge_area_error_abs,discretization,0.4695006664640557,0.4695006664640557,0.004435107171346453,35
dE1,LOARO,1.2,imbalance_ratio,discretization,-0.0700280112044818,0.0700280112044818,0.6893504387249598,35
dE1,LOARO,1.2,a,smooth,-0.3880776232877627,0.3880776232877627,0.021243395238429694,35
dE1,LOARO,1.2,aspect_ratio,smooth,0.015559461389633454,0.015559461389633454,0.9293098365029088,35
dE1,LOARO,2.0,edge_area_error_abs,discretization,0.1392156862745098,0.1392156862745098,0.4251055346737462,35
dE1,LOARO,2.0,imbalance_ratio,discretization,-0.051540616246498604,0.051540616246498604,0.7687273201671896,35
dE1,LOARO,2.0,a,smooth,-0.26605321596532183,0.26605321596532183,0.12238936092513958,35
dE1,LOARO,2.0,aspect_ratio,smooth,0.34655164004183603,0.34655164004183603,0.04140458359525597,35
dE1,LOARO,3.0,edge_area_error_abs,discretization,0.15798319327731095,0.15798319327731095,0.3647199187850219,35
dE1,LOARO,3.0,imbalance_ratio,discretization,0.18123249299719887,0.18123249299719887,0.2974551585258924,35
dE1,LOARO,3.0,a,smooth,-0.1700340102034012,0.1700340102034012,0.3287982685932752,35
dE1,LOARO,3.0,aspect_ratio,smooth,0.40171700315053643,0.40171700315053643,0.016755983433516298,35
dE1,LOARO,4.0,edge_area_error_abs,discretization,-0.04453781512605043,0.04453781512605043,0.7994600164616372,35
dE1,LOARO,4.0,imbalance_ratio,discretization,0.17254901960784316,0.17254901960784316,0.32158749732427927,35
dE1,LOARO,4.0,a,smooth,-0.22204441332444155,0.22204441332444155,0.1998429802455697,35
dE1,LOARO,4.0,aspect_ratio,smooth,0.26026735415386865,0.26026735415386865,0.13104276353383343,35
